French,English
histoire,history
chercher,search
genre,kind
frère,brother
mettre,to put
aucun,no
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
longtemps,long time
vont,will
revoir,meet again
compris,understood
donné,given
train,train
façon,way
écoute,listen
dont,whose
main,hand
première,first
vieux,old
sois,be
tiens,here
tellement,so much
point,point
suite,after
vers,towards
minutes,minutes
chambre,bedroom
droit,law
mari,husband
espère,hope
eau,water
nouvelle,new
boulot,job
terre,Earth
loin,far
